Country,Region,City,Name,Street,Zip,Latitude,Longitude
France,NaN,Vitrolles,IKEA Vitrolles,LA BASTIDE BLANCHE,NaN,43.4291333,5.267703166119439
Ireland,NaN,"Ballymun, Dublin",IKEA Ballymun,Off St Magarets Road,NaN,53.42256694601083,-6.280170390363036
Ireland,NaN,NaN,IKEA Naas,NaN,NaN,53.22652969165414,-6.657825397157015
Israel,NaN,NaN,IKEA Kiryat Ata,"דרך חיפה 52, קריית אתא",NaN,32.808716,35.075505
Israel,NaN,NaN,IKEA Rishon Lezion,"רח' היוזמה 1, מרכז עסקים שורק, כביש פלמחים",NaN,31.95204,34.770591
Israel,NaN,NaN,IKEA Netanya,"רח' גיבורי ישראל 1, אזה""ת פולג",NaN,32.27339,34.859941
Israel,NaN,NaN,IKEA Eshtaul,"המלאכה 7, אזה""ת הר טוב",NaN,31.774628,35.001948
Israel,NaN,Beer Sheva,IKEA Beer Sheva,"הירדן 24, באר שבע",NaN,31.223638,34.820802
Italy,NaN,Camerano,IKEA Ancona,Aspio Terme,NaN,43.5302951,13.51902421410653
Italy,NaN,Bari,IKEA Bari,"Via Caduti del Lavoro, 3",NaN,41.0884025,16.898475991640836
Italy,NaN,Casalecchio di Reno,IKEA Bologna Casalecchio,"Via John Lennon, 6",NaN,44.4872842,11.252044
Italy,NaN,Roncadelle,IKEA Brescia Roncadelle,"Via M. D'Antona e M. Biagi, 9",NaN,45.5348171,10.1660782
Italy,NaN,Catania,IKEA Catania,Uscita Zona Industriale Nord. Via Passo del Cavaliere,NaN,37.44639635,15.03532105756621
Italy,NaN,San Giovanni Teatino,IKEA Chieti San Giovanni Teatino,"Via Regolizie, 22",NaN,42.3960922,14.16763353280142
Italy,NaN,Sesto Fiorentino,IKEA Firenze Sesto Fiorentino,"Via Francesco Redi, 1",NaN,43.8070373,11.1872219
Italy,NaN,Genova,IKEA Genova,"Via Luigi Perini, 5",NaN,44.42352914999999,8.88373826936877
Italy,NaN,Vilesse,IKEA Gorizia Villesse,"Località' Maranuz, 1",NaN,45.86586037203468,13.43283232454436
Italy,NaN,Carugate,IKEA Milano Carugate,"Via dell'Artigianato, 7",NaN,45.54995825,9.331646605677737
Italy,NaN,Corsico,IKEA Milano Corsico,"Nuova via Marchesi, 4",NaN,45.4267395,9.079615506334957
Italy,NaN,San Giuliano,IKEA Milano San Giuliano,"Via Po, 3",NaN,45.38879165,9.261206803909266
Italy,NaN,Afragola,IKEA Napoli Afragola,Via E. Berlinguer 2,NaN,40.9091289,14.316229409499162
Italy,NaN,Padova,IKEA Padova,"Via Fraccalanza, 1",NaN,45.4189783,11.932882479934015
Italy,NaN,Parma,IKEA Parma,"Largo Benito Jacovitti, 11/A",NaN,44.83070955,10.36418375602132
Italy,NaN,Pisa,IKEA Pisa,"Via Rino Ricci, 8",NaN,43.69277345,10.382708151212448
Italy,NaN,Rimini,IKEA Rimini,Via Tolemaide 140,NaN,44.0790803,12.475543852408084
Italy,NaN,Roma,IKEA Roma Anagnina,"Via Fattoria Rampa, 35",NaN,41.83543715,12.594016034210522
Italy,NaN,Roma,IKEA Roma Porta di Roma,"Via Casale Redicicoli, 501",NaN,41.97276195,12.54154107669861
Italy,NaN,Baronissi,IKEA Salerno Baronissi,Via Salvatore Allende - Località Orignano,NaN,40.7532923,14.788736059157554
Italy,NaN,Collegno,IKEA Torino Collegno,"Viale Svezia, 1",NaN,45.0978594,7.581473226991665
Japan,NaN,Sendai-shi,IKEA Sendai,2-1-2 Asuto Nagamachi,NaN,38.75014355458117,140.98401721947167
Japan,NaN,Misato-shi,IKEA Shinmisato,2-2-2 Lala city Shinmisato,NaN,35.85637509207334,139.87053054135467
Japan,NaN,Funabashi-shi,IKEA Tokyo-Bay,2-3-30 Hama-cho,NaN,35.682166144115705,139.99232924134876
Japan,NaN,Tachikawa-shi,IKEA Tachikawa,6 Midori-cho,NaN,35.70609137293638,139.41214128367864
Japan,NaN,Tokyo,IKEA Harajuku,1-14-30 Jingumae,NaN,35.67064056677457,139.70306339717123
Japan,NaN,Tokyo,IKEA Shibuya,24-1 Udagawa-cho,NaN,35.66073294097205,139.69981874146558
Japan,NaN,Tokyo,IKEA Shinjuku,3-1-13 Shinjuku,NaN,35.690278383331645,139.70473939717198
Japan,NaN,Uokohama-shi,IKEA Kohoku,201-1 Orimoto-cho,NaN,35.52263524707268,139.59020485834438
Japan,NaN,Nagakute-shi,IKEA Nagakute,1-Gaiku Tochikukaku-seiri Jigyouchi,NaN,35.17616118491466,137.0755574259901
Japan,NaN,Osaka-shi,IKEA Tsuruhama,2-24-55 Tsurumachi,NaN,34.63697390876281,135.44988934131374
Japan,NaN,Kobe-shi,IKEA Kobe,8-7-1 Minatojima Nakamachi,NaN,34.66449777359105,135.21864625480848
Japan,NaN,Kasuya-gun,IKEA Fukuokashingu,2-9-1 Chuou Ekimae,NaN,33.71035392757586,130.45038478361286
Jordan,NaN,Amman,IKEA Amman,Airport Road - Madaba Bridge,NaN,31.826193175800118,35.90114872588272
Kuwait,NaN,NaN,IKEA Avenues,"Al Rai, Block 1",13037,29.301978782827064,47.92929836558801
Latvia,NaN,NaN,IKEA Latvija,NaN,NaN,57.01462452213625,24.074067630813285
Lithuania,NaN, Vilnius,IKEA Vilnius,NaN,NaN,54.65117748105005,25.280222284454577
Macau,NaN,Taipa,IKEA Macau,Avenida de Kwong Tung,NaN,22.1608084,113.5535968
Malaysia,NaN,Penang,IKEA Batu Kawan,"752, Persiaran Cassia Barat 8",NaN,5.2333164,100.44072286032532
Malaysia,NaN,Kuala Lumpur,IKEA Cheras,No. 2A Jalan Cochrane,NaN,3.13525785,101.72118587172044
Malaysia,Petaling Jaya Selangor Darul Ehsan,NaN,IKEA Damansara,"2, Jalan PJU 7/2 Mutiara Damansara",NaN,3.1569173,101.61285805513644
Malaysia,NaN,Taman Desa Tebrau,IKEA Tebrau,"No 33, Jalan Harmonium",NaN,1.552308,103.79864034285416
Mexico,NaN,Ciudad de México,IKEA Oceanía,"Encuentro Oceanía, Av. del Peñón 355",NaN,19.4406635,-99.0933889
Mexico,Reserva Territorial Atlixcáyotl,Puebla,IKEA Puebla,"Centro comercial Vía San Ángel, Av. Atlixcáyotl 1504",NaN,19.02809801875984,-98.23728382785612
Morocco,NaN,Mohammedia,IKEA Zenata,Highway Casablanca-Mohammedia Zenata motorway exit,NaN,33.6298495,-7.459404922794244
Morocco,NaN,Tetouan,IKEA Cabo,Road to Cabo Negro,NaN,35.82457985518563,-5.285152683106161
Netherlands,NaN,Amersfoort,IKEA Amersfoort,Euroweg 101,NaN,52.1845349,5.4173148
Netherlands,NaN,Amsterdam,IKEA Amsterdam,Hullenbergweg 2,NaN,52.301821,4.950297278030456
Netherlands,NaN,Barendrecht,IKEA Barendrecht,Hamburg 1,NaN,51.8494384,4.5125792
Netherlands,NaN,Breda,IKEA Breda,Kruisweide 1,NaN,51.5842569,4.7343961
Netherlands,NaN,Delft,IKEA Delft,OLOF PALMESTRAAT 1,NaN,52.01201585,4.38103027727095
Netherlands,NaN,Duiven,IKEA Duiven,Biograaf 2,NaN,51.9672335,5.9944734
Netherlands,NaN,Son,IKEA Eindhoven,Ekkersrijt 4089,NaN,51.499382,5.472685785904552
Netherlands,NaN,Groningen,IKEA Groningen,Sontweg 9,NaN,53.2176686,6.5876168
Netherlands,NaN,Haarlem,IKEA Haarlem,Laan van Decima 1,NaN,52.3854204,4.668050071987663
Netherlands,NaN,Heerlen,IKEA Heerlen,In de Cramer 142,NaN,50.8993944,5.9451986
Netherlands,NaN,Hengelo,IKEA Hengelo,Het plein 100,NaN,52.2887574,6.7678468
Netherlands,NaN,Utrecht,IKEA Utrecht,Van Rensselaerlaan 7,NaN,52.0623866,5.099214253997554
Netherlands,NaN,Zwolle,IKEA Zwolle,Diepholtstraat 3,NaN,52.5322998,6.1626789
Norway,NaN,Sandnes,IKEA Forus,Grenseveien 2,NaN,58.887307,5.720938165517241
Norway,NaN,Oslo,IKEA Furuset,Strømsveien 303,NaN,59.9334585,10.871762552647812
Norway,NaN,Trondheim,IKEA Leangen,Landbruksveien 2,NaN,63.4282271,10.4737157
Norway,NaN,Furnes,IKEA Ringsaker,Krokstadvegen 4,NaN,60.84003374127189,11.057313211745464
Norway,NaN,Billingstad,IKEA Slependen,Nesbruveien 40,NaN,59.88721447790871,10.497256889308554
Norway,NaN,Kristiansand,IKEA Sørlandet,Sydinga 20,NaN,58.1886,8.1567
Norway,NaN,Nyborg,IKEA Åsane,Åsamyrane 250,NaN,60.47345,5.331207
Oman,NaN,Muscat,IKEA Muscat,South Al Khuwair,NaN,23.81994349633853,58.37617316436247
Philippines,NaN,Pasay City,IKEA Pasay City,Marina Way,NaN,14.53222497103341,120.98235313229436
Poland,NaN,Bydgoszcz,IKEA Bydgoszcz,ul. Skandynawska 1,NaN,53.1321765,18.12089068503316
Poland,NaN,Gdańsk,IKEA Gdansk,ul. Zlota Karczma 26,NaN,54.3730978,18.5172299
Poland,NaN,Katowice,IKEA Katowice,al. W. Rozdzienskiego 95,NaN,50.27044105,19.059261880860905
Poland,NaN,Kraków,IKEA Kraków,ul. Josepha Conrada 66,NaN,50.08930685,19.89748488440036
Poland,NaN,Lublin,IKEA Lublin,Aleja Spółdzielczości Pracy 86,NaN,51.2818179,22.57288323097633
Poland,NaN,Łódź,IKEA Łódź,ul. Pabianicka 255,NaN,51.7023412,19.4127147
Poland,NaN,Poznań,IKEA Poznań,ul. Szwedzka 10,NaN,52.37871275,16.982900646849302
Poland,NaN,Szczecin,IKEA Szczecin,ul. Białowieska 2,NaN,53.4072856,14.5134021
Poland,NaN,Raszyn,IKEA Warszawa Janki,"Janki, pl. Szwedzki 1",NaN,52.133351213731935,20.895237961903184
Poland,NaN,Warszawa,IKEA Warszawa Targówek,ul. Malborska 51,NaN,52.30582805,21.08287979681064
Poland,NaN,Kobierzyce,IKEA Wrocław,"Bielany Wrocławskie, Czekoladowa 5A",NaN,51.0479802,16.9549785
